Indent Level,Research Area,Faculty Name,Parent,Number of Publications
0,All Research Area,NaN,NaN,NaN
1,Data Sciences and Artificial Intelligence,NaN,All Research Area,NaN
1,Human-Computer Interaction,NaN,All Research Area,NaN
1,Privacy and Security ,NaN,All Research Area,NaN
1,Social and Organizational Informatics,NaN,All Research Area,NaN
2,Data Sciences and Artificial Intelligence,C. Lee Giles,Data Sciences and Artificial Intelligence,773
2,Data Sciences and Artificial Intelligence,John Yen,Data Sciences and Artificial Intelligence,430
2,Data Sciences and Artificial Intelligence,Qingyun Wu,Data Sciences and Artificial Intelligence,31
2,Data Sciences and Artificial Intelligence,Justin Silverman,Data Sciences and Artificial Intelligence,38
2,Data Sciences and Artificial Intelligence,Sarah Rajtmajer,Data Sciences and Artificial Intelligence,84
2,Human-Computer Interaction,Saeed Abdullah,Human-Computer Interaction,75
2,Human-Computer Interaction,Syed Billah,Human-Computer Interaction,31
2,Human-Computer Interaction,Frank Ritter,Human-Computer Interaction,392
2,Human-Computer Interaction,Ting-Hao (Kenneth),Human-Computer Interaction,71
2,Human-Computer Interaction,Yubo Kou,Human-Computer Interaction,65
2,Privacy and Security ,Taegyu Kim,Privacy and Security ,16
2,Privacy and Security ,Edward J. Glantz,Privacy and Security ,31
2,Privacy and Security ,Dinghao Wu,Privacy and Security ,133
2,Privacy and Security ,Dongwon Lee,Privacy and Security ,329
2,Privacy and Security ,Jinghui Chen,Privacy and Security ,34
2,Social and Organizational Informatics,Fred Fonseca,Social and Organizational Informatics,122
2,Social and Organizational Informatics,Kelley Cotter,Social and Organizational Informatics,22
2,Social and Organizational Informatics,Lynette Yarger,Social and Organizational Informatics,119
2,Social and Organizational Informatics,Urja Vora,Social and Organizational Informatics,22
2,Social and Organizational Informatics,Andrea Tapia,Social and Organizational Informatics,179
